Customer Name,City,State,Days to Ship,Product Name,Actual Discount,Sales,Profit,Quantity,Order Day of Week,Order Day of Year,Order Year,Ship Day of Week,Ship Day of Year,Ship Year
Ruby Patel,Stockholm,Stockholm,4,"Enermax Note Cards, Premium",22.5,45,-26,3,1,1,2013,5,5,2013
Summer Hayward,Southport,England,4,"Dania Corner Shelving, Traditional",0.0,854,290,7,3,3,2013,0,7,2013
Devin Huddleston,Valence,Auvergne-Rhône-Alpes,4,"Binney & Smith Sketch Pad, Easy-Erase",0.0,140,21,3,4,4,2013,1,8,2013
Mary Parker,Birmingham,England,5,"Boston Markers, Easy-Erase",13.5,27,-22,2,4,4,2013,2,9,2013
Mary Parker,Birmingham,England,5,"Eldon Folders, Single Width",8.5,17,-1,2,4,4,2013,2,9,2013
Daniel Burke,Echirolles,Auvergne-Rhône-Alpes,2,"Binney & Smith Pencil Sharpener, Water Color",0.0,90,21,3,5,5,2013,0,7,2013
Daniel Burke,Echirolles,Auvergne-Rhône-Alpes,2,"Sanford Canvas, Fluorescent",0.0,207,77,4,5,5,2013,0,7,2013
Fredrick Beveridge,La Seyne-sur-Mer,Provence-Alpes-Côte d'Azur,1,"Bush Floating Shelf Set, Pine",15.5,155,36,1,0,7,2013,1,8,2013
Fredrick Beveridge,La Seyne-sur-Mer,Provence-Alpes-Côte d'Azur,1,"Accos Thumb Tacks, Assorted Sizes",0.0,33,2,3,0,7,2013,1,8,2013
Fredrick Beveridge,La Seyne-sur-Mer,Provence-Alpes-Côte d'Azur,1,"Smead Lockers, Industrial",71.6,716,143,4,0,7,2013,1,8,2013
Archer Hort,Toulouse,Languedoc-Roussillon-Midi-Pyrénées,6,"Ikea Classic Bookcase, Metal",592.2,987,-1012,6,1,8,2013,0,14,2013
Archer Hort,Toulouse,Languedoc-Roussillon-Midi-Pyrénées,6,"Binney & Smith Sketch Pad, Blue",58.0,116,-56,5,1,8,2013,0,14,2013
Evie Flockhart,Genoa,Liguria,5,"Ibico Hole Reinforcements, Recycled",0.0,22,7,3,4,11,2013,2,16,2013
Faith Greenwood,Vienna,Vienna,4,"Boston Canvas, Fluorescent",0.0,55,10,1,4,11,2013,1,15,2013
Faith Greenwood,Vienna,Vienna,4,"Smead Trays, Single Width",0.0,97,31,2,4,11,2013,1,15,2013
Summer Hayward,Murcia,Murcia,4,"Bevis Training Table, with Bottom Storage",160.8,268,-342,2,4,11,2013,1,15,2013
Summer Hayward,Murcia,Murcia,4,"Novimex File Folder Labels, Alphabetical",0.0,40,6,5,4,11,2013,1,15,2013
Gracie Powell,Woking,England,0,"SAFCO Executive Leather Armchair, Red",0.0,1384,14,3,4,11,2013,4,11,2013
Gracie Powell,Woking,England,0,"Binney & Smith Canvas, Blue",0.0,103,20,2,4,11,2013,4,11,2013
Hershel Snyder,Lohne,Lower Saxony,7,"Ikea Stackable Bookrack, Traditional",55.2,552,165,5,5,12,2013,5,19,2013
Hershel Snyder,Lohne,Lower Saxony,7,"Binney & Smith Canvas, Blue",0.0,257,49,5,5,12,2013,5,19,2013
Hershel Snyder,Lohne,Lower Saxony,7,"Ibico Index Tab, Clear",0.0,17,6,2,5,12,2013,5,19,2013
Hershel Snyder,Lohne,Lower Saxony,7,"Epson Printer, White",0.0,522,21,2,5,12,2013,5,19,2013
Julia Martell,Leicester,England,5,"Hon Chairmat, Adjustable",0.0,290,70,5,5,12,2013,3,17,2013
Viola Watson,Sheffield,England,3,"Green Bar Note Cards, Multicolor",17.0,34,-6,2,5,12,2013,1,15,2013
Julian Dobie,Dordrecht,South Holland,6,"Wilson Jones Hole Reinforcements, Durable",4.5,9,-3,3,6,13,2013,5,19,2013
Julian Dobie,Dordrecht,South Holland,6,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",11.0,22,-12,4,6,13,2013,5,19,2013
Julian Dobie,Dordrecht,South Holland,6,"Green Bar Cards & Envelopes, Multicolor",25.0,50,-38,2,6,13,2013,5,19,2013
Julian Dobie,Dordrecht,South Holland,6,"Smead Lockers, Blue",99.0,198,-131,2,6,13,2013,5,19,2013
